org_name,org_alt_name,ein_num,bio,city,state,assets,income
Conservative Coalition for Climate Solutions,,84-4573440,"['disseminate educational materials and information related to public policies that impact <em>climate change,</em> energy and the environment. Communications: Educate a wide range of stakeholder, including public policy leaders and the general public, by expanding and increasing the volume of conservative voices who support <em>climate change</em> solutions by using written, online, social, radio and TV media. Coalitions: Engage', 'Engage in, build and expand center-right and nonpartisan public policy coalitions who support a solutions-oriented approach to <em>climate change,</em> energy and environmental challenges.']",Falls Church,VA,123904,1046431
Impact Catalyst Foundation Inc,,88-1869404,"['wealth of the most marginalized and vulnerable communities through our work in health and wellbeing, livelihoods, education, water, governance, <em>climate change,</em> and disaster management. ', '  Poverty, public health, sexual and reproducttive health, one health, <em>climate,</em> sustainable agriculture, disaster preparedness, livelihoods, farmers, agriculture, regenerative agriculture, workforce wellbeing, Philanthropy']",Broadlands,VA,0,0
Spring Street Climate Fund Inc,,87-1178886,"['THAT CAN SERVE AS A MODEL FOR OTHER STATES, FOR NATIONAL <em>CLIMATE</em> POLICY, AND FOR AMERICAN LEADERSHIP ON THE WORLD STAGE. TO FURTHER THIS EXEMPT PURPOSE, SPRING STREET <em>CLIMATE</em> FUND IDENTIFIES SPECIFIC OPPORTUNITIES FOR PUBLIC POLICY <em>CHANGES</em> THAT WILL FIGHT <em>CLIMATE CHANGE</em> AND ARE MEANINGFUL AND WINNABLE, AND WORKS TO ENHANCE THE CAPACITY OF GRASSROOTS AND COMMUNITY-BASED NONPROFIT ORGANIZATIONS TO WIN THESE', 'SPRING STREET <em>CLIMATE</em> FUND SUPPORTS HIGH-IMPACT POLICY CAMPAIGNS THAT CAN MAKE NEW YORK A MODEL STATE FOR <em>CLIMATE</em> PROGRESS. WE IDENTIFY OPPORTUNITIES TO WIN SCALABLE <em>CLIMATE</em> SOLUTIONS AND INVEST IN THE GRASSROOTS <em>CLIMATE</em> CAMPAIGNS THAT CAN SUCCEED. Environment']",Brooklyn,NY,315941,954147
Sequoia Climate Fund,,85-4095972,[],Irvine,CA,67199037,206954377
CALIFORNIA BICYCLE COALITION,"CalBike, Shasta Living Streets, Women on Bikes California",68-0317456,"['transportation, bicycle, <em>climate,</em> economic development, disadvantaged communities, health, safety, environment, Public affairs, Democracy, Civic participation, Community and economic development, Business and industry, Human rights, Age groups, Children and youth, Adults, Non-governmental organizations', ' Expand bike share to all regions and make it accessible to all communities. We elevate bicycling to its important place in easing pollution and inequities that threaten our <em>climate</em> and community health. We are working to <em>change</em> our transportation policies to support an equitable, environmentally sustainable, and safe future. Our goals:Reduce vehicle miles traveled. Equitably reduce subsidies for driving.Ensure']",Sacramento,CA,25008,649748
Climate Analytics Inc,,30-0795021,"['<em>Climate</em> Analytics, Inc. provides scientific, technical, policy and legal support to Small Island Developing States and Least Developed countries. It works closely with a number of vulnerable country permanent missions to the UN, supporting them in <em>climate change</em> and sustainable development.']",New York City,NY,575889,999163
NC WARN,NC WARN,56-1734433,"['justice, <em>Climate change,</em> Natural resources, Energy resources, Energy efficiency, Fossil fuels, Renewable energy, Age groups, Adults, Young adults, Non-governmental organizations, Public charities', 'NC WARN is a member-based nonprofit tackling the <em>climate</em> crisis – and other hazards posed by electricity generation – by watch-dogging Duke Energy practices and building people power for a swift North Carolina transition to energy efficiency and clean power generation.In partnership with other groups, and using sound scientific research, NC WARN informs and involves the public in key decisions regarding']",Durham,NC,1854552,2456614
"Charles River Watershed Association, Inc.",,04-6136989,"[' Charles River Cleanup, Restoring Natural Hydrology to Urban Environments, Building <em>climate</em> resilience in watershed communities, River Restoration, Monitor Water Quality, Habitat Assessments, Invasive Plant Management, , Environment, Environmental justice, <em>Climate change,</em> Natural resources, Water resources, Rivers and lakes, Water', 'our landscape. These are often the most cost-effective way to build <em>climate</em> resilience, and they bring numerous co-benefits in terms of improving air and water quality, decreasing local temperatures, and adding green space. Many cities and towns across the watershed are taking proactive leadership roles in adapting to <em>climate change.</em> There are challenges that individual towns cannot address on their ']",Boston,MA,5692872,1674449
Climate Adaptation Center Inc,CAC,84-1889176,"['private enterprise to apply <em>climate</em> science to solving Florida’s unique challenges, while engaging Florida businesses in developing cost-effective adaptation strategies for Florida.The five Florida challenges are Sea Level Rise, the increasing threat for hurricanes, Red Tide, declining biodiversity and the increasing impacting of a warming <em>climate</em> on human health.', ' education, <em>climate</em> mititigation and  Adaptation']",Sarasota,FL,345564,259334
Georgia Conservation Voters Education Fund Inc.,Georgia Conservation Voters,58-2559965,"['environmental decision making and the environmental movement. As a result, study after study has revealed that these communities are most impacted by environmental pollution and are most at risk from <em>climate change.</em> GCV will support and mobilize this constituency of young people, people of color, women, and others who have been waging their own efforts to advance environmental justice.', 'envision a future where Georgians place a high priority on building a sustainable and resilient state. Our mission is to mobilize Georgians to advance <em>climate</em> and environmental justice through education, advocacy, and other forms of civic engagement. climate']",Atlanta,GA,823438,1322849
Healthy Home Healthy Planet,,81-3143242,"['people-powered <em>climate</em> action. Our 3-step approach harnesses the power of human emotion as a springboard to <em>climate</em> action: 1) Inspire: The Movie, 2) Engage: Empowerment Platform, 3) Activate: Resources. The Moviement flips the paradigm of feelings of powerlessness and empowers people to align their actions with their values and take 3 easy <em>climate</em> action that target transformative systemic <em>change.</em> www.TheMoviement.org', 'impact on the health of the planet. We aim to engage, inspire, and empower people to take meaningful action on the <em>climate</em> emergency.Our vision is a vibrant, healthy world powered by clean energy.Our organization is based in Massachusetts, and serves the entire U.S. Empowerment']",Marblehead,MA,140,8132
Center for Climate Integrity,,82-1659823,"[' IN CAUSING <em>CLIMATE CHANGE</em> AND THE NEED TO HOLD POLLUTERS ACCOUNTABLE FOR THEIR ACTIONS.', 'POLICYMAKER SUPPORT FOR <em>CLIMATE</em> ACCOUNTABILITY AND BY ADVISING STATE AND MUNICIPAL OFFICIALS ON THEIR COST RECOVERY OPTIONS. SCIENTIFIC RESEARCH - CCI DESIGNS, SUPPORTS, PUBLISHES, DISTRIBUTES, AND PROMOTES ORIGINAL RESEARCH INTENDED TO OBJECTIVELY QUANTIFY THE COSTS OF ADAPTING PUBLIC INFRASTRUCTURE TO THE IMPACTS OF <em>CLIMATE CHANGE</em> AND TO DEMONSTRATE THE DIRECT LINK BETWEEN THAT DAMAGE AND THE ACTIONS']",Washington,DC,4988327,7821135
New Haven Leon Sister City Project,,22-2825615,"['students who need more rigor and remedial help for students who are behind. The <em>Climate Change</em> Program is a response to the urgent crisis created by increasing greenhouse gas emissions to human well-being in Nicaragua and New Haven. This project educates the public and elected leaders about specific threats <em>climate change</em> presents to food security, local ecosystems and economic stability, and advocates', "" New Haven Leon Sister City Project, international education, sustainable development, <em>climate</em> justice, youth development, women's rights, Environment, Public affairs, Democracy, Civic participation, Human services, Youth development, International relations, Goodwill promotion, Age groups, ""]",New Haven,CT,214466,175969
NEW YORK SUN WORKS INC,NY Sun Works,20-0670312,"['subject. Our innovative approach allows students to grow food from seed-to-harvest, understanding the connection between humans, technology, and the environment and their direct relationship to <em>climate change</em>  all while growing hundreds of pounds of fresh produce to share with their families and school communities.Our programming uses a variety of cutting-edge hydroponic systems and supporting technologies', ' bringing high-quality education to the communities where its most needed and envision a generation of environmental innovators, empowered to create solutions to 21st-century <em>climate</em> challenges.  Environmental']",New York City,NY,2911668,5043720
Alaska Institute for Climate & Energy,,83-1017137,"['Science-based research, education and policy advocacy on <em>climate change</em> and energy issues in Alaska and the Arctic.']",Homer,AK,15321,15939
Changing Tides Foundation,,81-2823830,"[' Environment, <em>Climate change,</em> Environmental education, Outdoor education, Sports and recreation, Community recreation, Camps, Sports, Water sports, Public safety, Disasters and emergency management, Disaster relief, Non-governmental organizations, Public charities', '<em>Changing</em> Tides Foundation empowers women to protect the planet and promotes inclusivity in the ocean and beyond. Environment']",Encinitas,CA,206780,427268
Food for Climate League Inc,FOOD FOR CLIMATE LEAGUE,84-2916598,"['Our mission is to make <em>climate</em>-smart eating the norm. We envision an equitable, nutritious, and sustainable food system that’s rooted in people’s core needs, values, and diversity of cultures. ', ' FOOD FOR <em>CLIMATE</em> LEAGUE IS A TRAILBLAZING, WOMEN-LED NONPROFIT WORKING TO MAKE <em>CLIMATE</em>-SMART EATING THE NORM. WE CREATE TOOLKITS, PROGRAMS, AND CAMPAIGNS FOUNDED IN ORIGINAL BEHAVIORAL SCIENCE RESEARCH TO SHIFT THE PERCEPTION OF <em>CLIMATE</em>-SMART EATING.']",Evanston,IL,1377513,1799209
Purpose On the Planet Foundation,Purpose on the Planet Foundation,85-3953380,"['metric tons of CO2 - Empowers donors to reduce emissions through a monthly newsletter series, Sustainable SolutionsA 4-IN-1 <em>CLIMATE</em> ACTION PLAN: https://purposeontheplanet.org/climate-change-acti<em>on-pla</em>n', ""so that you can become “Climate Positive”, as a result of removing in a year around 2% more CO2 from the air than the average US carbon footprint!In all cases, you will be supporting a 4-pronged <em>climate change</em> action plan that also impacts 12 of UN's 2030 Global Goals.""]",Staunton,VA,67531,34091
Chesapeake Climate Action Network Action Fund Inc,,01-0879928,"[' Environment, <em>Climate change,</em> Human rights, Non-governmental organizations', 'URGENT GLOBAL ISSUE OF OUR TIME: THE <em>CLIMATE</em> CRISIS. IN PARTNERSHIP WITH THE CHESAPEAKE <em>CLIMATE</em> ACTION NETWORK (CCAN), WE FOCUS MOST OF OUR EFFORTS IN THE CHESAPEAKE BAY STATES OF MARYLAND, VIRGINIA, AND THE DISTRICT OF COLUMBIA. WE BELIEVE POSITIVE SOLUTIONS EXIST AND MUST BE EMBRACED NOW TO PRESERVE OUR PLANET FOR FUTURE GENERATIONS. Environment']",Takoma Park,MD,1221851,1441405
Rare,Rare,23-7380563,"['resilience to external impacts—especially those related to <em>climate change.</em> Empowering farmers and rural communities to adopt more sustainable and <em>climate</em>-compatible agricultural practices unlocks direct benefits for people and nature: improved yields and productivity, safeguarded habitats and biodiversity, increased resilience to <em>climate change,</em> enhanced carbon sinks and water security, and improved livelihoods', 'Rare is the leading behavior <em>change</em> organization in conservation. We specialize in locally-led solutions and work with partners and communities worldwide to bring these solutions to a regional and national scale. For over 45 years, through more than 450 behavior <em>change</em> campaigns across 60 countries, Rare has empowered over 10 million individuals to shift from resource users to environmental stewards']",Arlington,VA,38323972,26900252
COMPASS SCIENCE COMMUNICATION INC,COMPASS,81-1344772,"['as a whole, creating inclusive, safe, and empowering spaces for learning and transformation. With strategic skills, connections, and support, scientists can advance just, equitable solutions to <em>climate change</em> and biodiversity loss.Since 1999, COMPASS has supported over 10,000 scientists to communicate about their work and engage beyond lab and field. We’ve connected them with journalists, policymakers', ' science communication, training, coaching, policy, engagement, environment, <em>climate,</em> biodiversity, education, Education, Graduate and professional education, Environment, Science, Information and communications, Communication media, Public affairs, Public policy, Leadership development']",Clackamas,OR,2766098,2225032
Climate Remediation Foundation Inc,,46-4193321,[],Cambridge,MA,0,0
International Wineries for Climate Action Inc,,86-3959971,"['THE MISSION OF IWCA IS TO RAISE AWARENESS IN THE VITICULTURE INDUSTRY OF THE NEED TO REDUCE GREENHOUSE GAS EMISSIONS IN ORDER TO MITIGATE THE EFFECTS OF <em>CLIMATE CHANGE,</em> TO PROMOTE THE ADOPTION OF EMISSIONS FOOTPRINT INVENTORIES, AND TO ADVANCE SOLUTIONS THAT HELP MEMBERS ACHIEVE THEIR EMISSIONS REDUCTION TARGETS.']",Santa Rosa,CA,0,224885
Climate Imperative Foundation,,84-5024713,"[""<em>CLIMATE</em> IMPERATIVE FOUNDATION'S MISSION IS TO EMPLOY SCIENCE AND ECONOMICS TO CUT GLOBAL CARBON EMISSIONS TO SECURE A BETTER FUTURE FOR ALL."", ' IN 2022, <em>CLIMATE</em> IMPERATIVE FOUNDATION GRANTED TO ORGANIZATIONS AND INSTITUTIONS THAT, THROUGH RESEARCH, EDUCATION, ANALYSIS, AND OUTREACH, ADVANCED LOW-CARBON POLICIES IN THE U.S. AND OTHER COUNTRIES']",San Francisco,CA,250639955,289464924
Climate Literacy and Community Foundation Inc,,88-3460248,"['RELATED TO <em>CLIMATE</em> LITERACY, AND THE ABATEMENT OF <em>CLIMATE CHANGE</em> AND ITS HARMFUL EFFECTS; BUILDING AND MAINTAINING COMMUNITIES AND COALITIONS TO FACILITATE THE EXCHANGE AND SHARING OF IDEAS, EXPERIENCES AND BEST PRACTICES RELATED TO THE <em>CLIMATE</em>; AND MENTORING, EDUCATING, ADVOCATING FOR, SUPPORTING AND ENCOURAGING WOMEN TO SHARE IDEAS AND SOLUTIONS, TO LEARN ABOUT THE <em>CLIMATE,</em> AND TAKE <em>CLIMATE</em> POSITIVE']",Dover,DE,0,0
Climate Vault Inc,CARBON VAULT,85-4211960,"['TO LOWER THE CONCENTRATION OF GREENHOUSE GASES IN THE ATMOSPHERE TO SLOW, AND EVEN REVERSE, THE EFFECTS OF <em>CLIMATE CHANGE.</em>']",Chicago,IL,9733950,5293047
Corporate Accountability (Infact),Corporate Accountability,41-1322686,"['commodification of our most precious resource. And we demand our water remain in public hands and accessible to people. We are kicking Big Polluters out of <em>climate</em> policy. Our <em>climate</em> campaign demands the industries most responsible for <em>climate change</em> not be allowed to set the rules. It’s time Exxon Mobil, the fossil fuel industry, and their proxies pay for the destruction they have caused.We are building', ' corporate accountability, grassroots, activism, water, justice, international, food, tobacco control, <em>climate,</em> democracy, Environment, Public safety, Consumer protection, Public affairs, Community and economic development, Human rights, Age groups, Non-governmental organizations, Public charities We']",Boston,MA,8149746,8026050
APPAREL IMPACT INSTITUTE,,45-5146805,"[' <em>climate,</em> carbon, water, chemistry, materials, energy, science-based targets, sustainable development goals, worker livlihood, Environment, <em>Climate change,</em> Health, Public health, Water access, sanitation and hygiene, Clean water supply, Science, Physical and earth sciences, Chemistry', ' The Apparel Impact Institute (Aii) was founded to identify, validate, fund and scale impact solutions to drive measurable <em>change</em> in the apparel and footwear industry. Aii programs focus on areas that result in positive environmental impact from the production of apparel and footwear products to improve the industry.Clean by ']",Oakland,CA,6641420,7460334
FRIENDS OF ZENGER FARM,Zenger Farm,93-1269630,"['  Food Sovereignty, <em>Climate</em> Resilience,  Urban Agriculture, Beginning Farmer, Sustainable, Well-being, Nutrition, Community, Education,  Environmental Stewardship, Education, Elementary and secondary education, STEM education, Education services, Out-of-school learning, Environment, Environmental justice, <em>Climate change,</em> Natural resources, Environmental education, Agriculture']",Portland,OR,2205722,2001863
YAMPA VALLEY SUSTAINABILITY COUNCIL,YVSC,26-4753602,"['connect their knowledge of how the Yampa Valley is <em>changing</em> with actions that conserve resources, decrease emissions and increase resilience.YVSC works to bring youth leaders into conversations about <em>climate change</em> through its Internship Program, which connects students to staff mentors.YVSC is also the management entity for the Routt County <em>Climate</em> Action Plan Collaborative, an intergovernmental agreement', ' environment, sustainability, <em>climate</em> action, resilience, zero waste, waste diversion, energy, energy efficiency, green building, colorado, environmental education, Environment, Natural resources, Environmental education, Community and economic development']",Steamboat Springs,CO,499725,974201
Conservative Climate Foundation Inc,,87-1881200,"[' sectors, and gave participants the chance to learn and network on how to better talk about <em>climate</em> issues in their space. In 2022, CCF hosted a congressional delegation at the COP27 in Sharm El-Sheikh, Egypt. COP, or the United Nations Conference of Parties, is the worlds largest convening of <em>climate change</em> experts, advocates and policymakers.', 'The mission of the Conservative <em>Climate</em> Foundation is to engage and inform the public and policymakers about reducing global and domestic emissions with common sense, economic and environmentally sustainable strategies, and solutions based on conservative principles. Environment']",Washington,DC,501042,1918300
Americares,,06-1008595,"['global health, humanitarian aid, nonprofit, international, domestic, Connecticut, medical relief, nongovernmental, mental health support, chronic disease medications, medical aid, Environment, <em>Climate change,</em> Health, Public safety, Disasters and emergency management, Disaster preparedness, Disaster relief, International relations, International development, Age groups, Children and youth, Adults, Social', 'health needs of their communities, focusing on the root causes of illness and disease. Americares also designs innovative programming to prepare health care providers to mitigate the health impacts of <em>climate</em> change.Americares operates primary care clinics in Colombia, El Salvador and India which, combined, provide more than 530,000 patient consultations annually, including mental health support.In the ']",Stamford,CT,380165817,1574428457
NH Healthcare Workers for Climate Action Inc,,87-2425617,"['AS HEALTHCARE WORKERS ARE UNIQUELY POSITIONED TO INCREASE PUBLIC AWARENESS OF THE LINKS BETWEEN HEALTH AND <em>CLIMATE CHANGE,</em> WE SEEK TO PROVIDE NH HEALTHCARE WORKERS THE TOOLS TO EDUCATE AND MOBILIZE THE PUBLIC IN SUPPORT OF <em>CLIMATE</em> SOLUTIONS TO IMPROVE HEALTH FOR ALL.']",Easton,MD,106556,161652
ENVIRONMENTAL DEFENSE CENTER (EDC),ENVIRONMENTAL DEFENSE CENTER (EDC),77-0061994,"['public access. Founded in response to the 1969 Santa Barbara oil spill, EDC has always prioritized action to prevent irresponsible oil drilling. Now, facing a future of <em>climate</em> disruption resulting from human actions – global <em>climate change,</em> sea level rise, ocean acidification – the importance of this work has only increased. EDC’s mission to protect our local environment requires that we stand up against', ' <em>climate,</em> water quality, air quality, wildlife, endangered species, environment, advocacy, legal, open space, environmental justice, Environment, Health, Public safety, Legal services, Public interest law, Natural resources, Age groups, Adults, Non-governmental organizations, Public']",Santa Barbara,CA,6743428,2919585
MIDWEST ENVIRONMENTAL ADVOCATES INC,MEA,39-2006475,"[' Law, Environment, Midwest, Wisconsin, <em>Climate,</em> Water, Justice, Agriculture, Sustainable, Legal, Accountability, Madison, Milwaukee, Environment, Public safety, Legal services, Public interest law, Natural resources, Age groups, Adults, Ethnic ', ' services to individuals and grassroots groups facing environmental threats in their communities. We also work with clients to develop impact litigation strategies that bring about broader systemic <em>change</em> through specific legal actions. More than 100 citizens call our help line every year seeking resources to address environmental threats in their communities. We give them the information they need ']",Madison,WI,1418028,885244
STUDENT GLOBAL AMBASSADOR PROGRAM,SGAP Leaders,47-4118138,"['underserved teens to become agents of <em>change</em> in their communities and beyond by thinking critically, applying STEM, and championing social justice.Our programming provides opportunities for motivated underserved students to develop leadership and critical 21st century skills needed for college and career readiness. We are committed to rolling out our <em>climate change</em> and <em>climate</em> action curriculum to our students', 'college readiness, <em>climate</em> action, education, youth, enrichment, STEM, sustainability, social justice, design thinking, challenge, Universities, fun, leadership, workshops, hands-on, curriculum, next generation science standards, common core standards, Education, Equal opportunity in education, Educational management, Education services, Environment, Environmental justice, <em>Climate change,</em> Environmental ']",Derwood,MD,5231,125444
MASSACHUSETTS INTERFAITH POWER & LIGHT INC,,32-0022524,"['Massachusetts Interfaith Power &amp; Light is a religious response to environmental injustice, environmental degradation, and global warming.  Our mission is to educate people on why <em>climate change</em> is a matter of morality and justice; to foster public understanding of policies that will lead to a sustainable future; and to work with faith communities and their members to be better environmental stewards', ' environmental stewardship, environmental justice, <em>climate</em> justice, global warming, faith and environment, Environment, Environmental justice, Natural resources, Energy resources, Energy efficiency, Renewable energy, Public affairs, Public utilities, Age groups, Adults, Religious']",Newtonville,MA,65818,76718
Superhero Clubhouse Inc,,85-3620846,"['Superhero Clubhouse creates theater to enact <em>climate</em> and environmental justice, cultivate hope, and inspire a thriving future.', "" <em>Climate</em> &amp; Enviornmental Justice, Arts and culture, Arts services, Artists' services, Arts education, Public arts, Performing arts, Theater, Sexual identity, LGBTQ people, Family relationships, Families, Ethnic and racial groups, Social and economic status, Immigrants and migrants""]",Brooklyn,NY,131303,176948
350 BAY AREA,,47-2407547,"['We are building a grassroots <em>climate</em> movement in the Bay Area and beyond to achieve the elimination of carbon pollution and press for socially equitable solutions and a just transition to clean energy.', ' advocacy, education, <em>climate</em> action, Environment, Public affairs, Democracy, Civic participation, Human services, Youth development, Civics for youth, Age groups, Children and youth, Adults, Social and']",Oakland,CA,287967,580996
The Ocean Agency,,84-3398911,"[' ocean conservation, coral reef restoration, <em>climate</em> action, ocean science, marine science, creative communication, ocean education, ocean awareness, Environment, <em>Climate change,</em> Natural resources, Water resources, Coral reefs, Oceans and coastal waters, Wetlands, Biodiversity, Wildlife biodiversity, Aquatic wildlife', 'phenomenon we witnessed while filming the Netflix Documentary, Chasing Coral. Some corals glow in fluorescent color in a desperate bid to protect themselves from underwater heat waves caused by <em>climate change.</em> It is an indicator that we’ve reached a tipping point, not just for coral reefs, but for the planet – we are on the verge of losing entire ecosystems on which we depend.Working with the UNEP, together']",Newport,RI,155253,295093
CLIMATE CARAVAN,,82-5365604,"['<em>Climate</em> Caravan aims to empower children in countries impacted by <em>climate change</em> by providing inquiry-based education and amplifying their voices and stories such that children elsewhere acquire a better understanding of <em>climate change.</em>', 'affected by <em>climate change.</em> This rapid warming has contributed to the degradation of the country’s vast grasslands, threatening many Mongolians’ traditional nomadic way of life. As the effects of <em>climate change</em> proliferate, Mongolia’s younger generation will need to better understand its causes and consequences in order to create a more sustainable, resilient future. In summer 2018, the <em>Climate</em> Caravan ']",Seattle,WA,0,0
Cool The Earth Inc,Drive Clean Bay Area,26-3316908,"['mission is to engage kids and their families in <em>climate change</em> by motivating them to take simple, measurable actions to conserve energy. Collectively, these actions, and an increased civic engagement, will make a significant impact on global warming.', ' <em>Climate</em> Education Advocacy, Education, Elementary and secondary education, Environment, <em>Climate change,</em> Age groups, Children and youth, Adults, Non-governmental']",Kentfield,CA,91421,384167
Healthy Climate Communities,,81-4031776,"['Community education and action in Hawaii on <em>climate change,</em> including community forestry and science education in schools.']",Kailua,HI,0,0
American Farmland Trust,AFT,52-1190211,"[' farmland protection, local food, conservation, ranch, agriculture, farm, farming, farmers markets, smart growth, farmers, ranchers, environment, <em>climate,</em> water quality, sustainability, regenerative, soil health, smart solar siting, land access, Environment, Natural resources, Land resources, Agriculture, fishing and forestry, Agriculture, Farmlands', 'that help them maintain or improve their land’s productivity while providing environmental benefits like clean water and wildlife habitat. AFT’s work helps farmers protect soil health, adapt to a <em>changing</em> <em>climate</em> and remain a source of environmental solutions. AFT is taking the national lead on crafting innovative programs that can keep family farmers on the land—and help them pass their farmland on to']",Washington,DC,69949057,40390171
Climate Advisers Trust,,82-3342907,"[' THE MOST OUT OF <em>CLIMATE</em> DIPLOMACY BY BRINGING NEW IDEAS AND FRESH ENERGY TO GLOBAL CONVERSATIONS.- WE IDENTIFY AND COMMUNICATE MATERIAL FINANCIAL RISKS RELATING TO <em>CLIMATE CHANGE</em> IN WAYS THAT ARE USEFUL TO INVESTORS, ASSET MANAGERS, CORPORATIONS AND THE GENERAL PUBLIC.- WE FACILITATE CONSTRUCTIVE DIALOGUE AMONG GOVERNMENTS, COMPANIES, EXPERTS, AND ADVOCATES TO IDENTIFY NEW <em>CLIMATE</em> SOLUTIONS. - WE CONVENE', '<em>CLIMATE</em> ADVISERS TRUST (THE ORGANIZATION) WORKS TO RAISE <em>CLIMATE</em> AMBITION THROUGH SENSIBLE <em>CLIMATE</em> SOLUTIONS THAT CREATE JOBS, IMPROVE LIVING STANDARDS AND ADDRESS PRESSING SOCIAL CHALLENGES. THE ORGANIZATION WORKS TO DELIVER THE ZERO EMISSIONS ECONOMY. Environment']",Washington,DC,100,9593
Solana Center for Environmental Innovation,Solana Center,33-0009949,"['currently have any large scale solutions to the growing environmental problem of non-edible organic waste in our landfills--a problem that releases methane, a potent greenhouse gas that leads to <em>climate change</em>--despite the desperate need in the region. Solana Center is at the center of this solvable problem with our zero waste and food recovery programs that work to reduce the amount of waste in our ', 'mission is to mobilize the local community to address the region’s most pressing environmental issues and enact impactful <em>change,</em> with a focus on soil, waste, and water. food']",Encinitas,CA,912757,1025242
Model Central Government of Earth Inc,Model CGE,82-3782828,"[' Abraham Maslow, accession, activism, Aristotle, best citizens, biomes, <em>climate change,</em> comparative government research, conservation, culture, drought, ecological economics, ecology, education, election, environment, erosion, extinction, fairness, flooding, forerunner, Gaia, global']",Middleton,WI,0,0
The River Project,TRP,95-4858263,"['mission is to realize a regenerative, equitable, just, and <em>climate</em>-resilient Los Angeles through radical curiosity, evidence-based watershed planning, and positive action. Through our work, we provide local government and communities with the tools to safely adapt to rapidly <em>changing</em> conditions and co-create a <em>climate</em>-resilient future.', ' <em>climate,</em> river, watershed,  water, habitat, environmental justice,']",Studio City,CA,44380,220622
CLIMATE ACTION RESERVE,,68-0477330,"['To develop, promote and support innovative, credible market-based <em>climate change</em> solutions that benefit economies, ecosystems and society. The <em>Climate</em> Action Reserve was approved by the California Air Resources Board (ARB) in 2012 to serve as an Offset Project Registry in accordance with the regulations implementing the California cap-and-trade program. The Reserve has had many of the offset projects', ' <em>climate</em> policy, mitigation, cap and trade, greenhouse gas accounting, Environment, <em>Climate change,</em> Natural resources, Energy resources, Non-governmental organizations, Public charities, Associations, Organizational membership associations']",Los Angeles,CA,11250067,4793422
Trusted Climate Data Initiative Inc,,83-2748245,"['MANIPULATION. THE RESULTING PLATFORM AND ITS UTILZATION BY INCREASING NUMBERS OF PARTICIPANTS WILL DRIVE NEW AND IMPROVED SOLUTIONS TO ACCELERATE AND SCALE THE MITIGATION OF THE NEGATIVE EFFECTS OF <em>CLIMATE CHANGE.</em>', ""CONVENING THE GLOBAL COMMONS TO ACCELERATE POSITIVE <em>CLIMATE</em> ACTION. TRUSTED <em>CLIMATE</em> DATA INITIATIVE EXISTS TO ORGANIZE MASSIVE AND OTHERWISE DISAGGREGATED DATASETS TO PROVIDE A PUBLICLY ACCESSIBLE DATA PLATFORM THAT WILL CONNECT ALL THE WORLD'S <em>CLIMATE</em> DATA. THE TCDI DATA PLATFORM WILL ALSO ATTEST TO THE SOURCES OF DATA AND VERIFY THAT THE DATA FROM THE SOURCE IS PROTECTED AND FREE FROM MANIPULATION""]",Cambridge,MA,5525,152
Aviation Climate Taskforce Inc,,87-2111650,"['PROFOUND IMPACT IN THE FIGHT AGAINST <em>CLIMATE CHANGE.</em> THE ORGANIZATION WILL FULFILL ITS PURPOSE BY A PROGRAM OF SUPPORTING SCIENTIFIC DISCOVERY INTENDED TO DRIVE INNOVATION ACROSS THE DECARBONIZATION TECHNOLOGY RESEARCH AND DEVELOPMENT LIFECYCLE. MORE SPECIFICALLY, THE ORGANIZATION PLANS TO FUND EARLY-STAGE RESEARCH PROJECTS OF BOTH ACADEMIC AND PRIVATE-SECTOR RESEARCHERS IN THE FIELD OF DECARBONIZATION', 'THE PURPOSE OF AVIATION <em>CLIMATE</em> TASKFORCE, INC. (THE ORGANIZATION"") IS TO REDUCE, ANDULTIMATELY ELIMINATE, THE CARBON DIOXIDE EMISSIONS OF THE AVIATION SECTOR. IT WILL DO SO PRIMARILY BY SUPPORTING RESEARCH AND ACCELERATING BREAKTHROUGHS IN EMERGING DECARBONIZATION TECHNOLOGIES. IN THIS WAY, THE ORGANIZATION HOPES TO ELIMINATE A MATERIAL SOURCE OF THE WORLD\'S CARBON DIOXIDE EMISSIONS AND HAVE A PROFOUND']",Atlanta,GA,1776898,1702160
Community Matters,,68-0369720,"['baseline school <em>climate</em> characteristics and post-program <em>changes</em> from the baseline data are provided.&nbsp; For example, the tools include capturing school discipline &amp; attendance data, and monitoring the impact of the SSA program on these indicators.Program success examples:The SSA program focuses on engaging, empowering and equipping Safe School Ambassadors to create safer school <em>climates.</em> “In the last 4', ' Bullying, Violence Prevention, Teasing, Harassment, Cyber Bullying, Disrespect, Prejudice, Intolerance, Exclusion, School <em>Climate,</em> Gangs, Suspension, Expulsion, Education, Education services, Public safety, Abuse prevention, Bullying, Human services, Youth development, Youth organizing, Community service for youth, Age groups']",Santa Rosa,CA,802079,1686123
North Carolina Climate Justice Collective,,87-2961785,"['virtual discussion group. Designed and offered four workshops on the connection between the food system and <em>climate change</em>; trained local partners in the concept of <em>Climate</em> Victory Gardens', 'Resilience Toolkit. Supported various movement spaces by leading chants and drumming at actions <em>Climate</em> justice trainings:Designed and facilitated a JEDI training for 35 academics from 7 area universities involved in the Regional Integrated Sciences and Assessments (RISA) program. Led a series of teach-ins on the <em>climate</em> impacts of fast fashion. Provided ongoing political education through our monthly virtual']",Durham,NC,851603,1006010
