org_name,org_alt_name,ein_num,bio,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link
HeadsUp SAN RAFAEL PUBLIC EDUCATION FOUNDATION,HeadsUp,94-2838374,"[' Equity, arts enrichment, <em>health</em> and wellness, music education, Arts and culture, Arts services, Arts education, Education, Elementary and secondary education, Human services, Youth development, Youth organizing, Age groups, Children', 'and racial groups, People of Latin American descent, Social and economic status, Economically disadvantaged people, Work status and occupations, Academics, Students, Non-governmental organizations, <em>Public</em> charities']",San Rafael,CA,268274,369003,"Our Mission is to bring critical enrichment and support programs to our schools, providing equitable opportunities for our students while building community district wide.",,,,,
PTA North Carolina Congress,DDMS PTA,56-2142301,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Non-governmental organizations, <em>Public</em> charities', 'skills they need to raise and protect their children; to encourage parent and <em>public</em> involvement in the schools of this nation. child']",Raleigh,NC,0,0,The NC PTA will support and speak on behalf of children and youth in the schools and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing skills they need to raise and protect their children; to encourage parent and public involvement in the schools of this nation.,,,,,
PTA North Carolina Congress,YMES PTA,56-2205881,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Non-governmental organizations, <em>Public</em> charities', 'skills they need to raise and protect their children; to encourage parent and <em>public</em> involvement in the schools of this nation. child']",Raleigh,NC,0,0,The NC PTA will support and speak on behalf of children and youth in the schools and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing skills they need to raise and protect their children; to encourage parent and public involvement in the schools of this nation.,,,,,
PTA North Carolina Congress,PENN-GRIFFIN SCH FOR THE ARTS PTA,56-1347072,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Non-governmental organizations, <em>Public</em> charities', 'skills they need to raise and protect their children; to encourage parent and <em>public</em> involvement in the schools of this nation. child']",High Point,NC,0,0,The NC PTA will support and speak on behalf of children and youth in the schools and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing skills they need to raise and protect their children; to encourage parent and public involvement in the schools of this nation.,,,,,
PTA North Carolina Congress,CROWN POINT ELEM SCHOOL PTA,56-1823444,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Non-governmental organizations, <em>Public</em> charities', 'skills they need to raise and protect their children; to encourage parent and <em>public</em> involvement in the schools of this nation. child']",Matthews,NC,0,0,The NC PTA will support and speak on behalf of children and youth in the schools and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing skills they need to raise and protect their children; to encourage parent and public involvement in the schools of this nation.,,,,,
PTA North Carolina Congress,Apex Elementary PTA,56-1784983,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Non-governmental organizations, <em>Public</em> charities', 'skills they need to raise and protect their children; to encourage parent and <em>public</em> involvement in the schools of this nation. child']",Apex,NC,43050,66247,The NC PTA will support and speak on behalf of children and youth in the schools and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing skills they need to raise and protect their children; to encourage parent and public involvement in the schools of this nation.,,,,,
PTA North Carolina Congress,CARY ELEMENTARY PTA,56-1295044,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Non-governmental organizations, <em>Public</em> charities', 'skills they need to raise and protect their children; to encourage parent and <em>public</em> involvement in the schools of this nation. child']",Cary,NC,16629,64368,The NC PTA will support and speak on behalf of children and youth in the schools and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing skills they need to raise and protect their children; to encourage parent and public involvement in the schools of this nation.,,,,,
PTA North Carolina Congress,Pinehurst Elementary School PTA,58-1595624,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Non-governmental organizations, <em>Public</em> charities', 'skills they need to raise and protect their children; to encourage parent and <em>public</em> involvement in the schools of this nation. child']",Pinehurst,NC,70496,169842,The NC PTA will support and speak on behalf of children and youth in the schools and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing skills they need to raise and protect their children; to encourage parent and public involvement in the schools of this nation.,,,,,
Hunters Point Family,Hunters Point Family,94-3361252,"[' at-risk youth, high-risk youth, Bayview Hunters Point, <em>public</em> housing, food security, education, employment, community gardens, Farmers Market, Hunters Point, art projects, youth development, extended family, case management, family support, entrepreneurship, community outreach, African American, youth, <em>health,</em> violence prevention, violence intervention, Education, Vocational education', 'Age groups, Children and youth, Ethnic and racial groups, People of African descent, Social and economic status, Economically disadvantaged people, Low-income people, Non-governmental organizations, <em>Public</em> charities']",San Francisco,CA,1680721,8102116,"The Hunters Point Family's mission is to prepare youth to become independent, strong, and productive adults through comprehensive support services that empower them to develop their full potential.",https://facebook.com/HuntersPointFamily,,,https://instagram.com/hpfprograms,
Mundito Foundation Incorporated,,20-8613790,"['MISSION:  Mundito Foundation seeks to change lives of individuals who live with inadequate resources, <em>public health</em> care, or education.', ' community development, child welfare, family planning, education, <em>public health,</em> global, refugee, development,, Philanthropy, Foundations, Non-governmental organizations, Foundations']",Decatur,GA,1,41076,"MISSION: Mundito Foundation seeks to change lives of individuals who live with inadequate resources, public health care, or education.",https://facebook.com/pages/Mundito-Foundation/37094114204,,,,
PTA North Carolina Congress,Guilford County Council of PTAs,56-1824327,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Elementary and secondary education, Education services, Parent-teacher involvement, Age groups, Children and youth, Work status and occupations, Academics, Students']",Greensboro,NC,0,0,"PTA Mission is a powerful voice for all children, a relevant resource for families and communities, and a strong advocate for the education and well-being of every child.",,,,,
HISPANIC ACCESS FOUNDATION,Hispanic Access,27-2589206,"['Colorado River, environment and <em>public health,</em> and engaging the next generation of stewards. Hispanic Access Foundation’s conservation program seeks to elevate diverse Latino voices and leaders to support Latino communities to advocate for the environmental issues that directly affect their daily lives. Our programming seeks to build bridges for Latinos to stewardship, conservation advocacy, and recreation', 'physical <em>health</em> and healthy natural environment, a quality education, economic success, and civic engagement in their communities with the sum of improving the future of America. Information']",Washington,DC,4692792,8625947,"Hispanic Access Foundation connects Latinos with partners and opportunities, improving lives and creating an equitable society. Through innovative programs that build capacity, strategic communications, and advocacy, we build long-lasting relationships and networks that are rooted in communities. Our vision is that one day every Latino individual in America will enjoy good physical health and healthy natural environment, a quality education, economic success, and civic engagement in their communities with the sum of improving the future of America.",https://facebook.com/HispanicAccessFoundation,https://twitter.com/HispanicAccess,https://youtube.com/HispanicAccessHAF,https://instagram.com/hispanicaccess/,https://linkedin.com/company/hispanic-access-foundation
"Catholic Medical Mission Board, Inc.",CMMB,13-5602319,"['medical care, Community <em>health</em> care, <em>Public health,</em> <em>Public</em> safety, Disasters and emergency management, International relations, International development, Social and economic status, Economically disadvantaged people, Low-income people, <em>Health,</em> People with diseases and illnesses, Non-governmental organizations, <em>Public</em> charities', 'needs for underserved populations and disaster victims around the world. CMMB recruits licensed healthcare professionals, <em>public health</em> specialists, and other non-clinical volunteers, primarily from the US, to serve in CMMB’s country offices, CHAMPs  communities,  and local <em>health</em> facilities supported by CMMB and partners.  These positions are for 6 months or longer and while the openings vary by country']",Astoria,NY,185215520,481273793,"Inspired by the example of Jesus, CMMB works in partnership globally to deliver locally sustainable, quality health solutions to women, children, and their communities.
Our vision is a world in which every human life is valued, and health and human dignity are shared by all.",https://facebook.com/https://www.facebook.com/CMMBWorldwide,https://twitter.com/https://twitter.com/CMMBTweets,https://youtube.com/https://www.youtube.com/user/CMMBNYC,https://instagram.com/https://www.instagram.com/cmmbworldwide/,https://linkedin.com/company/https://www.linkedin.com/company/catholic-medical-mission-board
Rosenthal Center for Addiction Studies,,47-4114386,"[""'s <em>health</em> care reform initiatives.With such seismic social factors as legalization, decriminalization, widespread misuse of prescription painkillers and psychiatry's overdependence on pharmacology, the perception of addiction has changed radically in recent years, as has <em>public</em> understanding of drug use and recovery.  These changes have influenced individual behavior, treatment practices, <em>public</em> policy"", ' <em>public</em> policy; addiction; treatment; substance abuse; recovery; mental <em>health</em>; research, <em>Health,</em> Mental <em>health</em> care, Addiction services, Diseases and conditions, Non-governmental organizations, <em>Public</em> charities']",New York City,NY,495313,987795,"Formally incorporated as an independent organization in 2015, the Rosenthal Center for Addiction Studies was launched in 2007 within Phoenix House, the nation's leading private, nonprofit substance abuse agency, founded by Mitchell S. Rosenthal, M.D. in 1967. Dr. Rosenthal, who founded the Center, now serves as its president.The Center's mission is to meet the informational needs of men, women, and families grappling with addiction, of behavioral healthcare professionals in the treatment field, and of those policy makers whose decisions determine availability of and access to clinical and social services for the victims of addiction.Reflecting its Phoenix House origins, the Center brings to its mission a special concern for the most vulnerable victims of addiction, whose wide ranging needs present a critical challenge to the priorities of the nation's health care reform initiatives.With such seismic social factors as legalization, decriminalization, widespread misuseof prescription painkillers and psychiatry's overdependence on pharmacology,the perception of addiction has changed radically in recent years, as has public understanding of drug use and recovery. These changes have influenced individual behavior, treatment practices, public policy, criminal justice, and the nature and goalsof behavioral healthcare. The Center seeks to track these changing perceptions and their impact on society.",,,,,
Every Woman Treaty,Every Woman,47-3272024,"[""Global, Women’s Rights, Human Rights, Violence, Women, Girls, Disabled, Indigenous, <em>Public Health,</em> Human rights, Antidiscrimination, Women's rights, Sexual identity, Women and girls, Non-governmental organizations, <em>Public</em> charities""]",Seattle,WA,291804,1300298,"The Every Woman mission is to advance the creation, adoption, and implementation of a global treaty to end violence against women and girls.",https://facebook.com/EveryWomanTreaty,https://twitter.com/WomanTreaty,,https://instagram.com/everywomantreaty,
Ideastream,Ideastream Public Media,34-1943865,"['Ideastream <em>Public</em> Media is a trustworthy and dynamic multimedia source for illuminating the world around us.', ' WVIZ, WKSU, WCLV, PBS, NPR, Education, Information and communications, News and <em>public</em> information, Communication media, Radio, Television, Web-based media, Family relationships, Families, Parents, Non-adult children, Ethnic and racial groups, Social and economic status, Economically disadvantaged']",Cleveland,OH,41379688,52537617,Ideastream Public Media is a trustworthy and dynamic multimedia source for illuminating the world around us.,,,https://youtube.com/ideastream,https://instagram.com/ideastreamneo/,https://linkedin.com/company/ideastream
Resource Institure for Low Entropy Systems Inc,RILES,13-3567619,"[' environment, <em>public health,</em> sanitation, technology studies, human ecology, ecological infrastructure, Environment, International relations, International development, <em>Health,</em> <em>Public health,</em> Non-governmental organizations, Foundations', ""sewage sludge in the United States; collaboration with the Program for the Ecology of Human Systems at the Boston University School of <em>Public Health</em>; and education and technical advice on issues related to <em>public health</em> and the environment through publication, <em>public</em> speaking, and consultation to nongovernmental organizations, academics, grassroots organizers and policymakers. RILES' fieldwork is with""]",Jamaica Plain,MA,67281,395031,"The ReSource Institute for Low Entropy Systems (RILES), founded in 1990, is an independent, Boston-based nonprofit organization. Our mission is to improve public health by contributing to research and understanding at the intersection of technology, environment, and civil society.",,,,,
Crudem Foundation,CRUDEM,43-1660199,"['hospital, Haiti community <em>health</em> services, Haiti <em>public health</em> services, Haiti maternity care, Haiti HIV/AIDS, Haiti malnutrition program, Haiti mobile clinic <em>health</em> services, Haiti full-service hospital, <em>Health,</em> In-patient medical care, Hospital care, International relations, International development, Out-patient medical care, <em>Health</em> care clinics, Community <em>health</em> care, Social and economic status, Economically', ""daily to malnourished pre-school children, averaging 20-30 children per day. For outreach to provide regional <em>public health</em> services, the hospital has a Community <em>Health</em> Services Department.  This department operates dispensaries in outlying towns and hamlets which are staffed by trained '<em>health</em> agents'.  In addition, it operates a Mobile Clinic, which travels to four villages on a regular schedule, each""]",Ludlow,MA,1221211,1834128,"The Mission of the organization is threefold: first, to provide accessible health care for the poor of Northern Haiti regardless of their religion, economic status, or disease state; second, to train and nurture a competent Haitian medical staff, supplemented and supported by volunteer specialists; third, at all times and in all endeavors, to practice compassion and respect for the inherent dignity of every individual.",,,,,
Resources and Aid for Humanity Foundation,RAH Foundation,81-2151617,"[' child sexual abuse prevention, STD awareness, <em>public health,</em> Health', 'Health, <em>Public health,</em> <em>Health,</em> People with diseases and illnesses, People with HIV/AIDS, Non-governmental organizations, Supporting organizations (general)']",San Jose,CA,0,0,"RAH Foundation’s mission is to provide accessible, science-based sexual health education, including STD and child sexual abuse prevention services that respect the rights and privacy of individuals living in developing nations. By providing awareness programs and confidential access to multilingual medical and social service experts, RAH empowers people to make healthy decisions about their own wellbeing.",,,,,
Devoted Skies - A NJ Nonprofit Corporation,Devoted Skies,84-4459426,"[' Equity, Diversity and Inclusion, non profit, healthcare, education, <em>public health,</em> Human services, Non-governmental organizations, <em>Public</em> charities']",New Brunswick,NJ,0,0,MISSION – Provide medical resources to developing regions in facilitating effective delivery of care and the triage of vulnerable patients.,,,,https://instagram.com/https://www.instagram.com/devotedskies/,https://linkedin.com/company/https://www.linkedin.com/company/devotedskies/?viewAsMember=true
FRIENDS OF LOPEZ ISLAND POOL,FLIP,26-2079787,"[' <em>Public Health,</em> Water Safety, Youth Recreation, Senior Recreation, Family Recreation, Rehabilation through aquatherapy, <em>Health,</em> Sports and recreation, Sports, Water sports, Age groups, Children and youth, Adults, Social and economic status, Economically', 'Our mission is to bring greater <em>health,</em> water safety and community to all the people of San Juan County by building and operating a sustainable swim center. Public']",Lopez Island,WA,4664174,1045033,"Our mission is to bring greater health, water safety and community to all the people of San Juan County by building and operating a sustainable swim center.",https://facebook.com/friendsoflopezislandpool,,,,
Mission Street Parks Conservancy,MSPC,82-4825356,"['have vibrant and beautiful <em>public</em> landscapes that inspire and nurture the regional community. To that end, Mission Street Parks Conservancy helps the City of Salem preserve, maintain, enhance, and interpret the iconic <em>public</em> landscapes on and near Mission Street for current and future generations.', ' <em>public</em> park, landscape, horticulture, Salem, Oregon, beautification, <em>health,</em> conservation, historical preservation']",Salem,OR,101737,109106,"We believe that Salem should have vibrant and beautiful public landscapes that inspire and nurture the regional community. To that end, Mission Street Parks Conservancy helps the City of Salem preserve, maintain, enhance, and interpret the iconic public landscapes on and near Mission Street for current and future generations.",,,,,
"Citizens For Safety, Inc. - LIPSTICK",LIPSTICK: Ladies Involved in Putting a Stop to Inner-City Killing,80-0380414,"[' straw purchasing, women, domestic violence, youth development, <em>public health,</em> LIPSTICK, <em>Public</em> safety, <em>Public</em> affairs, Leadership development, Human services, Youth development, Youth organizing, Age groups, Children and youth, Non-governmental organizations, <em>Public</em> charities', ""minors who can't pass background checks. Astonishingly, no one has  addressed this problem—until now.  CFS partnered with the US Department of Justice, Massachusetts Department of <em>Public</em> Safety, Harvard School  of <em>Public Health,</em> and Boston's Project RIGHT to launch LIPSTICK. LIPSTICK the first focus groups,  counseling protocols, educational workshops and community actions in the country to prevent women""]",Jamaica Plain,MA,0,0,Citizens for Safety (CFS) is a 501c3 nonprofit mobilizing the power of grassroots action to stop the flow of guns to criminals and create safe communities where every child can thrive without the fear of getting shot. Operation LIPSTICK--Ladies Involved in Putting a Stop to Inner-City Killing--is a program of CFS that reduces the willingness of women to provide guns to people who can't get guns legally. LIPSTICK has been proven to reduce gun crimes by women.,,,,,
GLOBAL EMERGENCY CARE COLLABORATIVE,GEC,20-5319229,"[' emergency care training, clinical mid-level provider training, global <em>public health,</em> international development, capacity building, <em>health</em> system strengthening, emergency medicine, International relations, International development, Education, Education services, <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Oak Park,IL,16334,65253,Global Emergency Care is dedicated to make lifesaving medical care available to all Ugandans.,https://facebook.com/GlobalEmergencyCare,https://twitter.com/globalemergcare,,https://instagram.com/globalemergcare/,https://linkedin.com/company/global-emergency-care-collaborative
"Albert Schweitzer Fellowship, Inc.",ASF,13-1982786,"[' fellowship, <em>public health</em> students, medical students, Albert Schweitzer, community service, Africa, West Africa, <em>Health,</em> Education, <em>Public health,</em> Social and economic status, Economically disadvantaged people, Low-income people, Work status and occupations, Academics, Students, Non-governmental organizations, <em>Public</em> charities', 'The mission of The Albert Schweitzer Fellowship is to reduce disparities in <em>health</em> and healthcare by developing ""leaders in service"" - individuals who are dedicated and skilled in helping underserved communities, and whose example influences and inspires others.   The Fellowship achieves this through an interdisciplinary, service-learning model that fosters moral and professional development. This ']",Boston,MA,1295904,139617,"The mission of The Albert Schweitzer Fellowship is to reduce disparities in health and healthcare by developing ""leaders in service"" - individuals who are dedicated and skilled in helping underserved communities, and whose example influences and inspires others.
The Fellowship achieves this through an interdisciplinary, service-learning model that fosters moral and professional development. This model includes four major components: a mentored, entrepreneurial, community-based service project; guidance through a curriculum that emphasizes values and leadership; structured opportunities for individual and group reflection; and, membership in a lifelong fellowship (Fellows for Life) of service-oriented colleagues.",,,,,
MAP International,MAP,36-2586390,"['MAP International provides medicines and <em>health</em> supplies to people in need around the world so they might experience life to the fullest.', ' Medicines, <em>Health</em> Supplies, Disaster Relief, Community <em>Health</em> Development, Philanthropy, Voluntarism, <em>Health,</em> <em>Public</em> safety, Disasters and emergency management, International relations, International development, Age groups, Children and youth, Adults, Family relationships']",Brunswick,GA,318483406,1021583080,MAP International provides medicines and health supplies to people in need around the world so they might experience life to the fullest.,https://facebook.com/mapintl,https://twitter.com/mapintl,https://youtube.com/MAP International,https://instagram.com/mapintl,https://linkedin.com/company/MAP-International
World Mission Centre,,57-0969906,"[' Christian Missions, Character Development, Community Improvement, <em>Public Health,</em> Starting a Small Business, Church Planting, Social sciences, Anthropology, Cultural anthropology, Information and communications, Communication media, <em>Public</em> affairs, Leadership development, Religion, Christianity, Theology, Ethnic and racial groups, People of Middle Eastern', 'Nomadic people, Economically disadvantaged people, Low-income people, Extremely poor people, Working poor, Incarcerated people, Detainees, Victims and oppressed people, Non-governmental organizations, <em>Public</em> charities']",Irmo,SC,312573,820876,"World Mission Centre is called to provoke, enthuse, & inspire the body of Christ so that it may be released to the task of the Great Commission.",https://facebook.com/worldmissioncentre ,https://twitter.com/WorldMissionC,https://youtube.com/channel/UCW1P_W3M8XuQbta_G0DLyKg,https://instagram.com/ world_mission_centre,https://linkedin.com/company/world-mission-centre/about/
TERRANOU INTERNATIONAL FOUNDATION,Terranou International Foundation NY Inc,45-2630926,"[' MDGs( Millenium Development Goals, Community Development, <em>Public Health</em> , Environment , Fight againt poverty, International relations, <em>Health,</em> Diseases and conditions, Immune system diseases, HIV/AIDS, Environment, Biodiversity, Plant biodiversity, Botanical gardens, Non-governmental organizations, Supporting', ' synergy, based on the partnership of the private and <em>public</em> sector, appropriately managed and operated, will be able to reverse the trends. AIDS is currently defined as one of the most common infectious diseases of the underprivileged  reaching very disproportionately the most vulnerable in society. In Haiti through the efforts of <em>Public Health</em> and many development partners, the epidemic appears to']",Wesley Chapel,FL,0,0,"The fundamental vision of Terranou Foundation revolves around these concepts of equitable and sustainable development and is fueled by strong convictions. With objectives of rapid implementation and balanced development which is both coherent and harmonious with other structures in the provinces, countries and continents where it operates, Terranou Foundation is taking steps to start its activities in the Caribbean (Haiti), and in one African country ( the Democratic Republic of the Congo), These countries are united by a particular set of circumstances, namely the problem areas that correspond to the objectives for which the Foundation was created.",https://facebook.com/pages/FONDATION-TERRANOU/102817716436534,https://twitter.com/Terranou05,,https://instagram.com/terranou_international,
Davis Drive Elementary PTA,Davis Drive Elementary PTA,56-1926033,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Non-governmental organizations, <em>Public</em> charities', 'skills they need to raise and protect their children; to encourage parent and <em>public</em> involvement in the schools of this nation. child']",Cary,NC,63114,88906,The NC PTA will support and speak on behalf of children and youth in the schools and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing skills they need to raise and protect their children; to encourage parent and public involvement in the schools of this nation.,,,,,
PTA Congress of NC,North Chatham PTA,56-1752255,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Non-governmental organizations, <em>Public</em> charities', 'skills they need to raise and protect their children; to encourage parent and <em>public</em> involvement in the schools of this nation. child']",Chapel Hill,NC,51101,103354,The NC PTA will support and speak on behalf of children and youth in the schools and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing skills they need to raise and protect their children; to encourage parent and public involvement in the schools of this nation.,,,,,
Cary High School PTSA,CARY SENIOR HIGH SCHOOL PTA,41-0820466,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Non-governmental organizations, <em>Public</em> charities', 'skills they need to raise and protect their children; to encourage parent and <em>public</em> involvement in the schools of this nation. child']",Cary,NC,0,0,The NC PTA will support and speak on behalf of children and youth in the schools and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing skills they need to raise and protect their children; to encourage parent and public involvement in the schools of this nation.,,,,,
Mental Health America of Virginia,,54-0534103,"['working peer specialists about how they provide recovery support in particular settings. We advocate for a better mental <em>health</em> system and <em>public</em> understanding that mental <em>health</em> is essential to everyone’s overall <em>health</em>:• Increase <em>public</em> awareness, decrease stigma and keep mental <em>health</em> issues on the forefront of policy and legislative agendas. • Educate policy makers about the barriers preventing people', 'improve the mental <em>health</em> of all Virginians. VISION: All people in Virginia achieve optimal mental  wellness.  PURPOSE: Mental <em>Health</em> America of Virginia promotes  mental wellness in Virginia for everyone, every day and in times of crisis. MHAV']",Richmond,VA,328781,671668,"MISSION: To educate, empower, and advocate to improve the mental health of all Virginians.
VISION: All people in Virginia achieve optimal mental wellness.
PURPOSE: Mental Health America of Virginia promotes mental wellness in Virginia for everyone, every day and in times of crisis.",https://facebook.com/https://www.facebook.com/MentalHealthVirginia,https://twitter.com/https://twitter.com/MentalHealthVA,https://youtube.com/@mentalhealthamericaofvirgi8861,https://instagram.com/https://www.instagram.com/mentalhealthvirginia/,https://linkedin.com/company/https://www.linkedin.com/posts/mentalhealthva
Global Action Foundation,Wellbody Alliance,20-5124890,"[' Sierra Leone, <em>public health,</em> community-based healthcare, HIV care, maternal and child <em>health,</em> tuberculosis care, healthcare as a human right, social justice, <em>Health,</em> <em>Public health,</em> Human rights, Out-patient medical care, <em>Health</em> care clinics, Social and economic status, Economically disadvantaged', 'accommodate for an increased patient capacity of up-to 200 severely malnourished children per month. With a program integrating clinical medicine, <em>public health,</em> education, and agriculture and established in collaboration with UNICEF, WFP, and the Ministry of <em>Health,</em> we can reduce severe malnutrition by 80% within the next 5 years in Port Loko District.']",Boston,MA,0,0,"We believe that every life matters. That is why we strive to deliver the best care possible to our patients, both in the clinic and in the community. Our mission is not simply to provide medical services to the poor, but to build an effective healthcare system in the region that will save lives in a sustainable, equitable and just manner.We have a vision that drives all of our programs: the poor and all in Sierra Leone deserve the best healthcare possible, and Wellbody Alliance is dedicated to delivering it. We will work towards this vision until the day that no Sierra Leonean dies a death that would not happen in America or Europe.We have a mission that aligns our work: to provide healthcare as a human right to the poor in Sierra Leone. We do this through our community health work and high quality clinical care in Kono District.",https://facebook.com/wellbodyalliance,https://twitter.com/wellbodysl,,,
Del Prado Elementary PTA,DEL PRADO ELEMENTARY SCHOOL,65-0146180,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Non-governmental organizations, <em>Public</em> charities', 'skills they need to raise and protect their children; to encourage parent and <em>public</em> involvement in the <em>public</em> schools of this nation. child']",Boca Raton,FL,13524,39872,"FL PTA promises to support and speak on behalf of children and youth in the schools, in the community, and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing the skills they need to raise and protect their children; to encourage parent and public involvement in the public schools of this nation.",,,,,
NATIONAL ALLIANCE OF RESEARCH ASSOCIATES PROGRAM INC,The National Alliance of Research Associates Programs (NARAP),26-4138552,"['clinical experience, clinical research, <em>public health,</em> screening, <em>Health,</em> Non-governmental organizations, <em>Public</em> charities', 'quality of <em>health</em> care delivery nationally, especially in the areas of screening and prevention.Our work engages vast numbers of pre-<em>health</em> professional students as data collectors in the studies, providing enhanced clinical opportunities unique to the research setting while teaching the fundamentals of interacting with patients. research']",Fairfield,CT,0,0,"Centered in the emergency departments across the country, The National Alliance of Research Associate Programs (NARAP) is a non-profit 501(c)(3) clinical research organization facilitating large scale, national, multi-center studies to increase the quality of health care delivery nationally, especially in the areas of screening and prevention.Our work engages vast numbers of pre-health professional students as data collectors in the studies, providing enhanced clinical opportunities unique to the research setting while teaching the fundamentals of interacting with patients.",https://facebook.com/thenarap,https://twitter.com/thenarap,,,https://linkedin.com/company/https://www.linkedin.com/groups/Emergency-Medicine-Research-Associates-Alumni-4855560
"Cottonwood Research Foundation, Inc.",CRF,20-8676209,"[' DMT, Consciousness, Ayahuasca, Medicine, <em>Public Health,</em> Indigenous Medicine, Awareness, Science and Spirituality, <em>Health,</em> Mental <em>health</em> care, Addiction services, Arts and culture, Cultural awareness, Non-governmental organizations, <em>Public</em> charities']",Gallup,NM,0,0,"We wish to explore the many facets of human consciousness through the investigation of naturally occurring hallucinogenic compounds, with the hope of one day gaining a thorough understanding of human consciousness as a whole. By focusing on naturally occurring hallucinogenic compounds, we will be investigating the properties of many plant medicines. We intend to integrate our findings with contemporary Western medical, psychological, and religious/spiritual models. We believe that the integration of such methods of healing into contemporary models of healing, will have profound results.",,,,,
Belmont University,,62-0465076,"['students in a Christian environment, preparing them to become practitioners in <em>health</em> and social welfare fields. Departments include Nursing, Physical Therapy, <em>Public Health,</em> Occupational Therapy, and Social Work. The College of Visual and Performing Arts strives to be an active community that encourages imagination, nurtures creativity and promotes intellectual and professional growth in the arts. Its departments', 'NATIONAL TENNESSEE Nashville, University, Music, Music Business, <em>Health</em> Sciences, STEM, Education, Higher education, University education, Work status and occupations, Academics, Non-governmental organizations, <em>Public</em> charities, Religious institutions, Christian institutions, Protestant institutions The']",Nashville,TN,1565002574,495358212,"Belmont University is a student-centered Christian community providing an academically challenging education that empowers men and women of diverse backgrounds to engage and transform the world with disciplined intelligence, compassion, courage and faith.",,https://twitter.com/BelmontUniv,,,
Jefferson County Farmers and Neighbors Inc (JFAN),,14-1926280,"[' community rights advocacy, environmental advocacy, legislative advocacy, <em>public health</em> advocacy, Environment, Human rights, Social rights, Age groups, Ethnic and racial groups, Social and economic status, <em>Health,</em> Work status and occupations, Non-governmental organizations, <em>Public</em> charities']",Fairfield,IA,40670,86442,"JFAN promotes and protects the quality of life in Jefferson County, Iowa through community education, informational guidance and support, and statewide coalition efforts. JFAN strongly supports sustainable agriculture and traditional family farms - including livestock production. JFAN – Farms not Factories!",https://facebook.com/https://www.facebook.com/JFANIowa,https://twitter.com/https://twitter.com/jfaniowa,https://youtube.com/https://www.youtube.com/channel/UC2SeOtQNMd5_pXJsX-FRFRQ,,
North Shore Collaborative,,41-1852613,"[' children, family, education, literacy, community, partnership, minnesota, <em>public health,</em> social services, prevention, support, Human services, Non-governmental organizations, <em>Public</em> charities']",Two Harbors,MN,0,0,"Working together to strengthen families, and to ensure that all of our children can grow up healthy and lead meaningful lives.",,,,,
HEAVENS REACH MINISTRIES,Heaven's Reach Ministries,20-1921889,"['food sustainable gardening farm Medical equipment nutrition garden hygiene honduras hospital sustainable healthy living <em>public</em> training, Education, <em>Health,</em> <em>Public health,</em> Religion, Social and economic status, <em>Health,</em> Work status and occupations, Non-governmental organizations, <em>Public</em> charities']",Lowell,AR,10558,139068,"To Show, Teach, and Release Gods Love to the world by meeting physical and relational needs; mentoring and teaching a Christ directed life; and encouraging others into ministry.",,,,,
