org_name,org_alt_name,ein_num,org_highlight,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link
Heart Disease Research Foundation,,11-6036278,"[' THE ENCOURAGEMENT, IMPROVEMENT AND BETTERMENT OF MANKIND, THE DISCOVERY OF THE CAUSES AND CURES OF THOSE <em>DISEASES</em> THAT PRESENTLY AFFLICT MANKIND, PARTICULARLY, BUT NOT LIMITED TO <em>DISEASES</em> OF THE <em>HEART</em> AND RELATED <em>DISEASES.</em>', ' Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Non-governmental organizations, Public charities']",Brooklyn,NY,6367687,603976,"PURSUANT TO THE DEED OF TRUST, DATED JANUARY 12, 1961, THE FOUNDATION'S PURPOSE IS UPLIFTING AND THE UPBUILDING OF THE UNFORTUNATE, THE AMELIORATION OF THE SUFFERINGS OF THE AFFLICTED, THE ENCOURAGEMENT, IMPROVEMENT AND BETTERMENT OF MANKIND, THE DISCOVERY OF THE CAUSES AND CURES OF THOSE DISEASES THAT PRESENTLY AFFLICT MANKIND, PARTICULARLY, BUT NOT LIMITED TO DISEASES OF THE HEART AND RELATED DISEASES.",,,,,
Scripps Research Institute,TSRI,33-0435954,"["" Medical research, graduate education, cancer, <em>heart disease,</em> stroke, diabetes, Alzheimer's, Parkinson's <em>disease,</em> Health, Medical specialties, Biomedicine, <em>Diseases</em> and conditions, Brain and nervous system disorders, Alzheimer's <em>Disease</em> and other forms of dementia, Immune system <em>diseases,</em> HIV/AIDS, Work status and occupations, Academics, Students, Non-governmental organizations"", 'biomedical science. The institute has become internationally recognized for high-impact discoveries in immunology, molecular and cellular biology, chemistry, neurosciences, autoimmune <em>diseases,</em> cancer, cardiovascular <em>diseases,</em> virology, and synthetic vaccine development. Its study of the basic structure and design of biological molecules is particularly significant; in this arena, Scripps Research is among']",La Jolla,CA,828320768,1237453037,"The Scripps Research Institute serves humanity by creating basic knowledge in the biosciences, applying research breakthroughs to advance drug discovery, and educating and training the next generation of scientists.",,,,,
Heart Fund To Fight Cardio-Vascular Diseases Inc,,47-3061620,['FIGHTING CARDIOVASCULAR <em>DISEASES</em>'],New York City,NY,0,0,FIGHTING CARDIOVASCULAR DISEASES,,,,,
Smiling Angels,,82-2374417,"[' cancer, <em>heart disease</em> ,<em>diseases</em> and illnesses, Human services, Personal services, Age groups, Adults, Health, People with <em>diseases</em> and illnesses, Non-governmental organizations, Foundations', ' Making haircuts to donate to children with cancer and other diseases.We provide support through charitable events to people with critical illnesses, such as cancer, <em>heart disease</em> and others, as many ']",Winter Springs,FL,1,1,"Our mission is to be able to change the negative of life in positive. That people, in spite of their health condition, have the desire to fight to continue living and to be able to show that hope is the last thing that is lost.",https://facebook.com/Smiling Angels,,,https://instagram.com/Smiling Angels usa,
Chipn Away at Heart Disease,,46-0893741,"['Educating and focusing on the causes and prevention of <em>Heart Disease.</em> Helping to raise awareness and contributing to the medical field to gain a better perspective of the', ' Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Non-governmental organizations, Public charities']",Bonaire,GA,0,0,Educating and focusing on the causes and prevention of Heart Disease. Helping to raise awareness and contributing to the medical field to gain a better perspective of the,,,,,
Oklahoma Heart Hospital Research Foundation,Oklahoma Foundation for Cardiovascular Research,73-1455900,"[' <em>Heart</em> and Circulatory <em>Diseases,</em> Disorders, Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Family relationships, Caregivers, Social and economic status, Economically disadvantaged people, Health, People with <em>diseases</em> and illnesses, Non-governmental organizations', "" Helping to fight <em>heart disease</em> by advancing clinical Research. Oklahoma's only free specialty clinic for the uninsured. To provide crucial continuing education for healthcare workers. Helps to provide essential items for patients in need.""]",Oklahoma City,OK,1604034,1139601,"To improve heart-related patient outcomes by advancing cardiovascular research, education, and patient
and community services.",,,,,
Mama's Kitchen,,33-0434246,"['nutrition education, type 2 diabetes, congestive <em>heart</em> failure, chronic kidney <em>disease,</em> Health, <em>Diseases</em> and conditions, Immune system <em>diseases,</em> HIV/AIDS, Cancers, Human services, Basic and emergency aid, Food aid, Age groups, Children and youth, Social and economic status, Economically disadvantaged people, Low-income people, Health, People with <em>diseases</em> and illnesses, Non-governmental organizations,', ""people unable to prepare their own meals due to cancer. Meal deliveries for children whose parents are unable to prepare their kids' meals due to AIDS, cancer, diabetes, congestive <em>heart</em> failure, or chronic kidney <em>disease.</em> Mama's Pantry provides a monthly grocery shopping opportunity for HIV+ San Diego County residents who are healthy enough to cook for themselves but who remain vulnerable to malnutrition""]",San Diego,CA,12488015,7385460,Mama’s Kitchen believes that everyone is entitled to the basic necessity of life – nutritious food. Our services improve the health and well-being of individuals and families vulnerable to malnutrition due to critical illness.,https://facebook.com/Mama's Kitchen,https://twitter.com/mamaskitchensd,https://youtube.com/SDMamasKitchen,https://instagram.com/mamaskitchensd,https://linkedin.com/company/Mama's Kitchen
Chasin A Dream Foundation Inc,,82-2066748,"['mission is to ease the burden on families with children battling cancer, cystic fibrosis, <em>heart disease,</em> and other life-threatening illnesses and disabilities, by offering individualized assistance that promotes healing and hope.', ' financial assistance, community, children, healthcare, cancer, cystic fibrosis, <em>heart disease,</em> blood disorder, pediatrics, backpack, Public affairs, Human services, Age groups, Children']",Jupiter,FL,775521,775465,"Chasin A Dream Foundation empowers families with children facing life-threatening illnesses by providing personalized, transformative support. Our mission is to ease the burden on families with children battling cancer, cystic fibrosis, heart disease, and other life-threatening illnesses and disabilities, by offering individualized assistance that promotes healing and hope.",https://facebook.com/chasinadreamfoundation,,https://youtube.com/chasin a dream foundation,https://instagram.com/chasinadreamfoundation,
Center for Science in the Public Interest,CSPI,23-7122879,"[' Nutrition, Health, Advocacy, Food, Public, Science, Antibiotics, Consumer, Supplements, Dyes, Soda, Sugar, Salt, Sodium, Obesity, Diabetes, Hypertension, <em>Heart Disease,</em> Public safety, Consumer protection, Agriculture', 'reduced impact and burden of preventable <em>diseases</em> and an equitable food system that makes healthy, sustainable food accessible to all. CSPI values independence, scientific rigor, and transparency. Nutrition']",Washington,DC,40185567,19593552,"The Center for Science in the Public Interest is America's food and health watchdog.

CSPI envisions a healthy population with reduced impact and burden of preventable diseases and an equitable food system that makes healthy, sustainable food accessible to all. CSPI values independence, scientific rigor, and transparency.",https://facebook.com/cspinet,https://twitter.com/CSPI,https://youtube.com/CSPITV,,https://linkedin.com/company/center-for-science-in-the-public-interest
Heart Healers International,,26-0763892,"["" Pediatic cardiology, Rhuematic <em>Heart Disease,</em> Congenital <em>Heart Disease,</em> Africa, Children's Health,, Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Public health, Non-governmental organizations, Public charities"", 'sustainability in pediatric cardiac care.The goals of these missions have been to perform <em>heart</em> surgery with the Ugandan medical team, diagnose children with <em>heart disease,</em> facilitate treatment of these children abroad when needed, conduct collaborative research to reduce the burden of rheumatic <em>heart disease,</em> and, most importantly, build a sustainable cardiac surgery program in Uganda through education']",Potomac,MD,63021,198127,"Our underlying premise is that no child with treatable heart disease should be left behind.The years of life saved from an open heart procedure justifies the costs when comparing it to most other public health initiatives. We have led dozens of medical missions to African nations  since 2003; the last eight in Uganda have focused on performing open heart surgery and cardiac catheterization at the Uganda Heart Institute.  Our work in Morocco also includes developing telemedicine capabilities with weekly consults to aid that countries development and sustainability in pediatric cardiac care.The goals of these missions have been to perform heart surgery with the Ugandan medical team, diagnose children with heart disease, facilitate treatment of these children abroad when needed, conduct collaborative research to reduce the burden of rheumatic heart disease, and, most importantly, build a sustainable cardiac surgery program in Uganda through education, donation of technology, patient care, and meetings with hospital and government officials.Ongoing education and advancement of the cardiovascular program is critical to prevent the “brain drain” of young physicians and nurses that are being trained.",,,,,
LUEWISH,no,83-3434101,"['Grants wishes to women who are experiencing life altering issues due to cancer, <em>heart disease</em> or domestic violence. We seek to inspire women to live, love, and laugh out loud in spite of. ', '  Critical illness, cancer, domestic abuse, domestic violence, <em>heart</em> health, <em>heart disease,</em> health awareness, grief, women empowerment, inspiration, mental illness, sudden life changes life altering events, Education']",Missouri City,TX,338,13501,"Grants wishes to women who are experiencing life altering issues due to cancer, heart disease or domestic violence. We seek to inspire women to live, love, and laugh out loud in spite of.",https://facebook.com/LueWishHerStory,https://twitter.com/LueWishHerStory,https://youtube.com/LueWishHerStory,https://instagram.com/LueWishHerStory,https://linkedin.com/company/hilda-gradnigo-luewish
Self chec,,13-4058313,"['preventative actions that help keep us healthy from cancer, <em>heart disease</em> and other chronic illnesses that often and unnecessarily take the lives of some of our loved ones much too early.', ' self-check, self exam, wellness, <em>disease</em> prevention, health screenings, early detection, cancers chronic <em>diseases,</em> wellness tools, cancer screening, <em>heart disease,</em> diabetes, obesity, self-check videos, treatable cancers']",New York City,NY,1,3196,"Self Chec is a non-profit organization that helps save lives by raising awareness of the importance of early detection self-checks and preventative actions that help keep us healthy from cancer, heart disease and other chronic illnesses that often and unnecessarily take the lives of some of our loved ones much too early.",https://facebook.com/https://www.facebook.com/selfchec,,https://youtube.com/https://www.youtube.com/results?search_query=selfchec,,https://linkedin.com/company/https://www.linkedin.com/in/selfchec/
Conquering Congenital Heart Disease,CONGUERING CHD-DELAWARE,86-2098760,[],Dover,DE,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Conquering Congenital Heart Disease,CONQUERING CHD - ARKANSAS,87-3322030,"['Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Non-governmental organizations, Public charities']",Fayetteville,AR,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
SAI GLOBAL MISSION,H2H Foundation (Heart to Heart Foundation),46-1085415,"['globally. Providing free child <em>heart</em> surgeries for needy children suffering from congenital <em>heart disease</em> globally. The program also educates and provides skilled medical, nursing, and allied health care providers trainings to collectively address the burden of congenital <em>heart disease.</em> We advocate the Right to Healthy Childhood by bringing sharper focus in the area of child <em>heart</em> care, enabled by research', ""Children, Youth, Rural students, congential <em>heart disease,</em> holistic education, transforming rural healthcare, underprivalaged Populations,  Economically disadvantaged people., Education, Philanthropy, Health, Community and economic development, Community improvement, Community service, Human rights, Antidiscrimination, Children's rights, Human services, <em>Diseases</em> and conditions, Age groups, Children and""]",Santa Clara,CA,1066052,7102123,"Sai Global Mission is a Non-Profit Organization focused on societal advancement initiatives for helping rural communities and offering free services to the underserved in the areas of healthcare, education, nutrition & rural care irrespective of race, religion, gender, age, caste, creed, economic status, sexual orientation & country of origin. SGM provides free lifesaving heart surgeries for underprivileged children globally & provides access to quality  holistic education & morning nutrition to children from rural communities in India. The program also provides free medical camps, nutritious meals, & clean drinking water to several villages in India, & supports any disaster relief initiatives to help the underprivileged.  We also provide scholarships to eligible rural medical students",https://facebook.com/@SaiGlobalMission,,,,
Live Like Noah Foundation Inc,Live Like Noah Foundation,83-0937684,"['Live Like Noah Foundation carries on Noah’s legacy of goodwill by advocating for Congenital <em>Heart Disease</em> and supporting families affected by its challenges.', ' advocacy, congenital <em>heart disease</em> awareness, helping others, plastic bronchitis, special needs, Health, <em>Diseases</em> and conditions, Family relationships, Families, Non-governmental organizations, Public charities']",Winnetka,CA,15186,32305,Live Like Noah Foundation carries on Noah’s legacy of goodwill by advocating for Congenital Heart Disease and supporting families affected by its challenges.,https://facebook.com/livelikenoahfoundation,,https://youtube.com/@livelikenoahfoundation1047,https://instagram.com/livelikenoahfoundation,
Heart Disease Prevention and Training Centre Inc,,88-1060806,"[' Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Non-governmental organizations, Public charities']",Ellicott City,MD,53743,94553,"CHARITABLE, RELIGIOUS, EDUCATIONAL, HEALTHCARE, AND SCIENTIFIC",,,,,
John Dimitri Research Foundation for Congenital Heart Disease,,82-3695927,"['Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Non-governmental organizations, Foundations']",Los Angeles,CA,5937,8330,This organization has not provided GuideStar with a mission statement.,,,,,
M O G Heart Disease Foundation Inc,,87-1720322,[],Brooklyn,NY,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Heartfelt Help Foundation,Heartfelt Help Foundation,85-0941720,"['   housing, <em>heart,</em> transplant, organ, patient, patients, <em>disease,</em> failure, surgery, second chance, medical need, financial, challenged, surgery', 'Medical support services, Organ and tissue banks, Medical specialties, Cardiology, Immunology, Internal medicine, Pathology, Pharmacology, Surgery, Organ transplantation, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Community and economic development, Community improvement, Community organizing, Housing development, Housing loss prevention, Human services, Family services, Family disability']",Petaluma,CA,0,0,"The mission of Heartfelt Help Foundation is to help financially-challenged heart transplant recipients in Northern California pay medically-required transplant-related expenses which are not covered by their insurance.  HHF will perform this mission for the purpose of helping to ensure equal quality in and equal access to healthcare for people despite their financial limitations.  HHF will accomplish its mission by helping heart recipients find and pay for post-discharge temporary recovery housing near their hospital which facilitates reliable and timely healing.  HHF also will mentor heart transplant patients through the stresses of their situation to help them maximize the gift of life they received, and will educate the public about organ donation and transplant.",https://facebook.com/heartfelthelpfoundation,https://twitter.com/heartfelthelpf,https://youtube.com/Heartfelt Help Foundation,https://instagram.com/heartfelthelpfoundation,https://linkedin.com/company/https://www.linkedin.com/company/89562839/admin/
National Forum for Heart Disease,,27-2257461,"[' Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Health, People with <em>diseases</em> and illnesses, Non-governmental organizations, Public charities, Associations, Organizational membership associations', 'to improve cardiovascular health. In addition, mayors and media personalities prompted by the National Forum used traditional and social media to urge vulnerable populations and others to get their <em>heart</em> health checked and take steps to protect it, including getting treated when needed. The MWTM Vaccination Initiative mobilizes mayors to encourage residents to protect and improve their health and to']",Washington,DC,2273676,2737233,The mission of the organization is to spark and lead collaborative action to acheive health equity and optimize cardiovascular health and well-being throughout the lifespan.,,,,,
Caribbean Heart Menders Associate,Heart Menders,65-0660138,"['children, congenital <em>heart disease,</em> Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> In-patient medical care, Community health care, Medical support services, Age groups, Children and youth, Social and economic status, Economically disadvantaged people, Low-income people, Non-governmental organizations, Public charities', 'dying needlessly from congenital <em>heart disease</em> due to the lack of trained local surgeons, doctors, nurses and a facility to adequately care for them.&nbsp; Our goal was to teach the local medical professionals to provide the necessary care for these children thus leaving a self-sustaining program.&nbsp; In addition we facilitated yearly medical missions to perform life-saving <em>heart</em> surgery to these children.&nbsp; I ']",Pembroke Pines,FL,0,0,"The Caribbean Heart Menders Association (CHMA) is a 501 © 3 non-profit organization established in 1994. Moved by empathy and compassion, this organization was formed to address the critical needs of children suffering and dying needlessly from congenital heart disease. Our mission is to alleviate this suffering through medical missions and education of medical professionals.",,,,,
Big Heart Fund,,82-3173452,"['congenital <em>heart disease</em> living in the Mid-South. With the recent implementation of their successful <em>heart</em> transplantation program, the number of families requiring long-term support has increased. Despite advances in the treatment of congenital <em>heart disease,</em> currently one in four babies are born with it every year. To provide support to these families along their journey, the Big <em>Heart</em> Fund is establishing', ' Big <em>Heart,</em> Congenital <em>Heart Disease,</em> Pediatric <em>Heart,</em> BHF, CHD, Health, Health care administration and financing, Patient social services, Non-governmental organizations, Public charities The']",Memphis,TN,0,0,The mission of the Big Heart Fund is to support families of the Heart Institute at Le Bonheur Children's Hospital.,,,,,
Jeffrey Has Heart,,81-0839376,"[' Children, <em>Heart Disease,</em> CHD, Health,, Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Genetic conditions and birth defects, Age groups, Children and youth, Adolescents, Adults, Young adults, Family relationships, Families, Parents, Non-governmental', 'Jeffrey Has <em>Heart</em> exists to support families of children hospitalized with Congenital <em>Heart Disease</em> and to educate the public about CHD. Children']",Southlake,TX,0,0,Jeffrey Has Heart exists to support families of children hospitalized with Congenital Heart Disease and to educate the public about CHD.,,,,,
Theophilus Heart Disease & Diabetic Foundation,,88-4122572,[],Philadelphia,PA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Cholesterol Genetics and Heart Disease Institute,,94-3244813,[],Carmel,CA,0,0,THE ORGANIZATION PROVIDES BOTH PUBLIC AND PROFESSIONAL EDUCATION AND CONDUCT RESEARCH REGARDING LIPO PROTEIN DISORDERS AND ATHEROSCLEROSIS.,,,,,
Asher James Congenital Heart Disease and Thrombosis Foundation,,46-1649721,"['Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Non-governmental organizations, Public charities']",Schaumburg,IL,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Little Hearts Medical,,46-2070567,"['We provide care to orphan and impoverished children in China living with congenital <em>heart disease,</em> provide equipment and training to our partner surgeons and medical foster homes, and education to orphanages in the care of children born with CHD.', ' congenital <em>heart disease,</em> orphan advocacy, China, Health, Medical support services, Non-governmental organizations, Public charities']",Brush Prairie,WA,0,0,"We provide care to orphan and impoverished children in China living with congenital heart disease, provide equipment and training to our partner surgeons and medical foster homes, and education to orphanages in the care of children born with CHD.",https://facebook.com/LittleHeartsMedical/?ref=bookmarks,,,,
The Big Hearts Fund,,27-2944132,"[' With this program, the organization subsidizes veterinary care of dogs and cats with <em>heart disease</em> for qualifying owners. To raise awareness of the prevalence and severity of <em>heart disease,</em> The Big <em>Hearts</em> Fund works to reach out', 'out to and educate the public of how to recognize symptoms of <em>heart disease,</em> how to seek treatment, and how to prevent <em>heart disease.</em>']",Chicago,IL,0,0,To raise funds and awareness for dogs and cats diagnosed with heart disease.,https://facebook.com/bigheartsfund,https://twitter.com/bigheartsfund,,,
Hearts for Emma A New Jersey Nonprofit Corporation,www.heartsforemma.org,46-0694989,"['<em>Hearts</em> for Emma provides assistance to families of children with <em>heart disease</em> in crisis due  to the child’s hospitalization whether typical, unplanned or prolonged; supports  educational initiatives relating to <em>heart</em> transplantation and organ and tissue donation; provides donations to other non-profit organizations which support pediatric cardiac initiatives, provides college scholarships and post', ' Pediatric, cardiac, organ transplantation, congenital <em>heart disease,</em> bedside support, advocacy, sibling support, gift cards, scholarships, Beads of Courage, room decorating, toiletries, Care Bags, neo natal cardiac development, book library']",Cranford,NJ,83043,112314,"Hearts for Emma provides assistance to families of children with heart disease in crisis due  to the child’s hospitalization whether typical, unplanned or prolonged; supports  educational initiatives relating to heart transplantation and organ and tissue donation; provides donations to other non-profit organizations which support pediatric cardiac initiatives, provides college scholarships and post graduate scholarships to candidates who are advocates for organ and tissue donation and to study for a greater understanding of pediatric cardiac disease and care.",,,,,
Mended Hearts Inc,"Mended Hearts Chapter 50 of Rochester, NY",22-2511780,"['Mended <em>Hearts,</em> a national nonprofit organization, has been offering the gift of hope to <em>heart disease</em> patients, their families and caregivers for more than 60 years.  Total membership is over 20,000.Mended <em>Hearts</em> began in 1951 when Dr. Dwight Harken, Chief of Cardio Thoracic Surgery at Brigham Hospital in Boston, saw a need for a support group to help his patients after they had undergone <em>heart</em> surgery', ' <em>Heart disease</em>; patient support; caregiver support; hospital visiting, Health, Non-governmental organizations, Public charities']",Rochester,NY,0,0,"Mended Hearts, a national nonprofit organization, has been offering the gift of hope to heart disease patients, their families and caregivers for more than 60 years.  Total membership is over 20,000.Mended Hearts began in 1951 when Dr. Dwight Harken, Chief of Cardio Thoracic Surgery at Brigham Hospital in Boston, saw a need for a support group to help his patients after they had undergone heart surgery.  The Greater Rochester Chapter 50 was established in 1966.Mended Hearts brings together patients, spouses, family, and medical professionals to form a network of caring individuals.",,,,,
Premier Community Health,PCH,31-1122883,"['chronic <em>disease,</em> health promotion, cancer, diabetes, <em>heart,</em> lung, prevention, early detection, self-management, Health, Public health, <em>Diseases</em> and conditions, Cancers, Non-governmental organizations, Public charities', ' Premier Community Health works to create a healthier community on behalf of Premier Health through prevention, early detection and <em>disease</em> self management education.']",Dayton,OH,3268556,52320301,"Premier Community Health works to create a healthier community on behalf of Premier Health through prevention, early detection and disease self management education.",https://facebook.com/premiercommunityhealth,,,,
The Hope Heart Institute,The Hope,91-1138000,"['The Hope <em>Heart</em> Institute is committed to serving humanity through cardiovascular research and education.  We are dedicated to preventing and treating <em>heart</em> and blood vessel <em>disease,</em> and to improving the physical, emotional and spiritual quality of life for all at risk of – or affected by – cardiovascular <em>disease.</em>', ' <em>heart disease,</em> cardiovascular <em>disease,</em> prevention, education, research,  blood vessel,']",Bellevue,WA,1338000,248845,"The Hope Heart Institute is committed to serving humanity through cardiovascular research and education.  We are dedicated to preventing and treating heart and blood vessel disease, and to improving the physical, emotional and spiritual quality of life for all at risk of – or affected by – cardiovascular disease.",,,,,
KiDS NEED MoRE,"Motivational Recovery Environments, Inc.",46-2975228,"['Life-Threatening Illness, Sickle Cell, <em>Heart disease,</em> Camping, Camp, peer mentoring, peer specialists, fun, friendship, respite, palliative care, Health, Medical specialties, Pediatrics, Sports and recreation, Human services, Youth development, Youth services, Age groups, Children and youth, Family relationships, Families, Health, People with disabilities, People with <em>diseases</em> and illnesses, Non-governmental']",Copiague,NY,232385,617396,"We are dedicated to enhancing the lives of children, families and young adults coping with serious illness, trauma and other grown-up stuff.",https://facebook.com/kidsneedmorecamp,https://twitter.com/kidsneedMOREorg,https://youtube.com/channel/UC-mXXLgxlhwHS4Nb6P2aVIw,https://instagram.com/kidsneedmore_inc/,https://linkedin.com/company/company/kids-need-more/
Camp Boggy Creek,,59-3012889,"[' Children, Cancer, Life Threatening Illnesses, Family, Epilepsy, <em>Heart Disease,</em> Diabetes, Sickle Cell, Spina Bifida, Asthma, HIV/AIDS, Kidney, Transplants, Health, Health care administration and financing, Patient social services, Rehabilitation, Sports and recreation, Community']",Eustis,FL,41223744,3421595,"The mission of Camp Boggy Creek is to foster a spirit of joy by creating a free, safe and medically-sound camp environment that enriches the lives of children with serious illnesses and their families.Camp Boggy Creek makes a lasting impact on the lives of children with serious medical conditions by giving them the opportunity to celebrate simply being a child – to feel normal. Program staff and volunteers work with an expert, experienced team of volunteer doctors and nurses to ensure all campers and family members are provided a safe, fun, and life-changing experience.  Our programs create positive recreational experiences while reducing feelings associated with serious illnesses such as isolation. Most importantly, however, we inspire hope and help children to forget their illness and experience fearless fun and unbridled joy in a medically-sound camp environment.",https://facebook.com/https://www.facebook.com/CampBoggyCreek,https://twitter.com/campboggycreek,https://youtube.com/https://www.youtube.com/campboggycreek,https://instagram.com/https://www.instagram.com/campboggycreek/,https://linkedin.com/company/Camp Boggy  Creek
DEBORAH HEART & LUNG CENTER,,23-1550955,"[' Health, In-patient medical care, Hospital care, Specialty hospital care, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Age groups, Children and youth, Adults, Young adults', 'Deborah <em>Heart</em> and Lung Center is a global leader in the field of cardiology, pulmonary, and vascular care. We offer a wide range of advanced surgical procedures and non-surgical alternatives for the diagnosis and treatment of cardiac, pulmonary, and vascular <em>diseases</em> in adults and children, including congenital and acquired <em>heart</em> defects.Deborah has never billed a patient: No deductibles, no co-pays']",Browns Mills,NJ,152199603,227760693,"Deborah Heart and Lung Center is a global leader in the field of cardiology, pulmonary, and vascular care. We offer a wide range of advanced surgical procedures and non-surgical alternatives for the diagnosis and treatment of cardiac, pulmonary, and vascular diseases in adults and children, including congenital and acquired heart defects.

Deborah has never billed a patient: No deductibles, no co-pays, and no balance billing. Our patients benefit from our unique business model so they can focus on recovery and wellness, not treatment costs. 

The mission of Deborah Heart and Lung Center is to provide the highest quality heart, lung, and vascular care in a collaborative and welcoming environment while ensuring access for all.",https://facebook.com/http://www.facebook.com/DeborahHeartAndLung,https://twitter.com/http://twitter.com/demanddeborah,https://youtube.com/https://www.youtube.com/channel/UCIN-42HuL9yeeHj5Qu7NW0w,,https://linkedin.com/company/https://www.linkedin.com/company/deborah-heart-and-lung-center
Military Order of the Purple Heart of the USA,PARENT ORGANIZATION,59-0829647,"['Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Non-governmental organizations, Associations, Individual membership associations']",Springfield,VA,4268008,1167795,"ASSISTING, COMFORTING AND AIDING ALL NEEDY AND DISTRESSED MEMBERS AND THEIR DEPENDENTS AND GIVING NEEDED HOSPITAL AND SERVICE WORK THROUGH VETERANS ADMINISTRATION CERTIFIED SERVICE OFFICERS AND COOPERATING WITH OTHER CIVIC AND PATRIOTIC ORGANIZATIONS HAVING WORTHY OBJECTIVES.",,,,,
